"","X","Ess","Length","PSum","fEss"
"366",366,2,20,0.861454299617031,0.843696862988668
"367",367,2,15,0.861385709251063,0.84304068885465
"368",368,2,10,0.860619120401046,0.841728340586614
"369",369,2,5,0.851362143990921,0.837791295782507
"370",370,2.2,45,0.878097909312044,0.863627543230889
"371",371,2.2,40,0.878097908974061,0.863519156477935
"372",372,2.2,35,0.878097905225774,0.863379802081281
"373",373,2.2,30,0.87809786365661,0.863193996219074
"374",374,2.2,25,0.878097402644736,0.862933868011986
"375",375,2.2,20,0.878092289603525,0.862543675701353
"376",376,2.2,15,0.878035543129691,0.861893355183632
"377",377,2.2,10,0.877401001582824,0.860592714148189
"378",378,2.2,5,0.869695439719087,0.856690791041861
"379",379,2.4,45,0.892116688634554,0.879937834191769
"380",380,2.4,40,0.892116688357257,0.879831019098397
"381",381,2.4,35,0.892116685281991,0.879693685406919
"382",382,2.4,30,0.892116651176749,0.879510573818281
"383",383,2.4,25,0.892116272941406,0.879254217594189
"384",384,2.4,20,0.892112077949953,0.87886968325805
"385",385,2.4,15,0.892065518213202,0.878228792697819
"386",386,2.4,10,0.891544619195397,0.876947011577357
"387",387,2.4,5,0.885183418348703,0.873101668215971
"388",388,2.6,45,0.904125550941731,0.894170071719816
"389",389,2.6,40,0.904125550715804,0.894065339265074
"390",390,2.6,35,0.904125548210236,0.893930683251835
"391",391,2.6,30,0.904125520423054,0.893751141900849
"392",392,2.6,25,0.904125212256394,0.893499784009469
"393",393,2.6,20,0.904121794379526,0.893122747172399
"394",394,2.6,15,0.90408385801604,0.892494352443949
"395",395,2.6,10,0.903659218315885,0.891237562987049
"396",396,2.6,5,0.898444255487369,0.887467194616349
"397",397,2.8,45,0.914556906752979,0.906666659787684
"398",398,2.8,40,0.914556906569994,0.906564450480113
"399",399,2.8,35,0.914556904540667,0.906433038513238
"400",400,2.8,30,0.914556882035074,0.906257822557403
"401",401,2.8,25,0.914556632442436,0.906012520219234
"402",402,2.8,20,0.914553864198721,0.905644566711981
"403",403,2.8,15,0.914523136965489,0.905031310866559
"404",404,2.8,10,0.914179016689397,0.903804799175715
"405",405,2.8,5,0.909929009434917,0.900125264103184
"406",406,3,45,0.923720192425356,0.917693343301603
"407",407,3,40,0.923720192277908,0.917594036872388
"408",408,3,35,0.923720190642687,0.917466357177683
"409",409,3,30,0.923720172507795,0.917296117584743
"410",410,3,25,0.923719971387253,0.917057782154626
"411",411,3,20,0.923717740740645,0.916700279009452
"412",412,3,15,0.923692979650784,0.916104440434161
"413",413,3,10,0.923415533626511,0.91491276328358
"414",414,3,5,0.919969572021145,0.911337731831835
"415",415,3.2,45,0.931839174137783,0.927459622594064
"416",416,3.2,40,0.931839174019499,0.927363544411805
"417",417,3.2,35,0.931839172707702,0.92724001532033
"418",418,3.2,30,0.931839158159646,0.927075309865031
"419",419,3.2,25,0.93183899681796,0.926844722227611
"420",420,3.2,20,0.931837207354964,0.926498840771481
"421",421,3.2,15,0.931817342675754,0.925922371677932
"422",422,3.2,10,0.931594646743484,0.924769433490834
"423",423,3.2,5,0.928813009664402,0.921310618929539
"424",424,3.4,45,0.939078181693613,0.936133137652657
"425",425,3.4,40,0.939078181599094,0.936040562972352
"426",426,3.4,35,0.939078180550864,0.935921538383388
"427",427,3.4,30,0.939078168925805,0.935762838931436
"428",428,3.4,25,0.939078040000856,0.935540659698704
"429",429,3.4,20,0.939076610070497,0.935207390849605
"430",430,3.4,15,0.939060735807492,0.934651942767774
"431",431,3.4,10,0.938882684030243,0.933541046604112
"432",432,3.4,5,0.936646052285044,0.930208358113125
"433",433,3.6,45,0.945560437557811,0.943850007914519
"434",434,3.6,40,0.945560437482544,0.943761164745827
"435",435,3.6,35,0.945560436647823,0.943646937814652
"436",436,3.6,30,0.945560427390615,0.943494635239752
"437",437,3.6,25,0.945560324725715,0.943281411634892
"438",438,3.6,20,0.945559186045704,0.942961576227602
"439",439,3.6,15,0.945546544498462,0.942428517215452
"440",440,3.6,10,0.945404679577081,0.941362399191153
"441",441,3.6,5,0.943612477739238,0.938164045118253
"442",442,3.8,45,0.951380770788922,0.950722391050276
"443",443,3.8,40,0.951380770729171,0.95063746221506
"444",444,3.8,35,0.951380770066521,0.950528267998354
"445",445,3.8,30,0.95138076271762,0.950382675709412
"446",446,3.8,25,0.951380681216323,0.950178846504894
"447",447,3.8,20,0.951379777262972,0.949873102698116
"448",448,3.8,15,0.951369741176262,0.94936352968682
"449",449,3.8,10,0.951257057429846,0.948344383664228
"450",450,3.8,5,0.949825394975712,0.945286945596453
"451",451,4,45,0.95661436587122,0.956844083847355
"452",452,4,40,0.956614365823917,0.956763208646491
"453",453,4,35,0.956614365299325,0.95665922624538
"454",454,4,30,0.956614359481508,0.956520583043899
"455",455,4,25,0.956614294960321,0.956326482561826
"456",456,4,20,0.956613579335096,0.956035331838715
"457",457,4,15,0.956605633786705,0.955550080633531
"458",458,4,10,0.956516376667159,0.954579578223164
"459",459,4,5,0.955375881567136,0.951668070992061
"460",460,4.2,45,0.961322730484017,0.962294713548995
