"","Ess","Sum10","Sum25","Sum50","Sum75","Sum100","Sum125","Sum150","Sum200","Sum250","Sum300","Sum400","Sum500","Sum600","Sum750","Sum1000","Sum1250","Sum1500","Sum2000"
"61",3.4,1.06589854675893,1.06591641045947,1.06591657775767,1.06591658174585,1.0659165821564,1.06591658223491,1.06591658225619,1.06591658226629,1.0659165822682,1.06591658226872,1.06591658226896,1.06591658226901,1.06591658226902,1.06591658226902,1.06591658226903,1.06591658226903,1.06591658226903,1.06591658226903
"62",3.6,1.0702628029354,1.07027506795553,1.07027516483652,1.07027516686824,1.07027516706232,1.07027516709751,1.07027516710666,1.07027516711082,1.07027516711156,1.07027516711176,1.07027516711184,1.07027516711186,1.07027516711187,1.07027516711187,1.07027516711187,1.07027516711187,1.07027516711187,1.07027516711187
"63",3.8,1.07311477004558,1.07312317355747,1.07312322953398,1.07312323056624,1.07312323065773,1.07312323067345,1.07312323067738,1.07312323067908,1.07312323067938,1.07312323067945,1.07312323067948,1.07312323067948,1.07312323067948,1.07312323067949,1.07312323067949,1.07312323067949,1.07312323067949,1.07312323067949
"64",4,1.07472328176808,1.07472902909786,1.07472906137672,1.07472906189995,1.07472906194297,1.07472906194997,1.07472906195165,1.07472906195235,1.07472906195246,1.07472906195249,1.0747290619525,1.0747290619525,1.0747290619525,1.0747290619525,1.0747290619525,1.0747290619525,1.0747290619525,1.0747290619525
"65",4.2,1.07531569008419,1.07531961456288,1.07531963314438,1.07531963340903,1.07531963342922,1.07531963343233,1.07531963343305,1.07531963343334,1.07531963343338,1.07531963343339,1.07531963343339,1.07531963343339,1.07531963343339,1.07531963343339,1.07531963343339,1.07531963343339,1.07531963343339,1.07531963343339
"66",4.4,1.07508410160747,1.07508677763593,1.07508678831621,1.07508678844983,1.07508678845928,1.07508678846066,1.07508678846097,1.07508678846108,1.0750867884611,1.0750867884611,1.07508678846111,1.07508678846111,1.07508678846111,1.07508678846111,1.07508678846111,1.07508678846111,1.07508678846111,1.07508678846111
"67",4.6,1.07419064361582,1.07419246609316,1.07419247222372,1.07419247229107,1.07419247229548,1.0741924722961,1.07419247229623,1.07419247229627,1.07419247229628,1.07419247229628,1.07419247229628,1.07419247229628,1.07419247229628,1.07419247229628,1.07419247229628,1.07419247229628,1.07419247229628,1.07419247229628
"68",4.8,1.0727719233645,1.07277316317602,1.0727731666908,1.07277316672469,1.07277316672675,1.07277316672702,1.07277316672708,1.0727731667271,1.0727731667271,1.0727731667271,1.0727731667271,1.0727731667271,1.0727731667271,1.0727731667271,1.0727731667271,1.0727731667271,1.0727731667271,1.0727731667271
"69",5,1.07094281336698,1.07094365596858,1.07094365798153,1.07094365799856,1.07094365799952,1.07094365799964,1.07094365799967,1.07094365799967,1.07094365799968,1.07094365799968,1.07094365799968,1.07094365799968,1.07094365799968,1.07094365799968,1.07094365799968,1.07094365799968,1.07094365799968,1.07094365799968
"70",6,1.05850872186299,1.05850884261659,1.05850884273907,1.05850884273961,1.05850884273963,1.05850884273963,1.05850884273963,1.05850884273963,1.05850884273963,1.05850884273963,1.05850884273963,1.05850884273963,1.05850884273963,1.05850884273963,1.05850884273963,1.05850884273963,1.05850884273963,1.05850884273963
"71",7,1.04504687756197,1.04504689462891,1.04504689463625,1.04504689463627,1.04504689463627,1.04504689463627,1.04504689463627,1.04504689463627,1.04504689463627,1.04504689463627,1.04504689463627,1.04504689463627,1.04504689463627,1.04504689463627,1.04504689463627,1.04504689463627,1.04504689463627,1.04504689463627
"72",8,1.033330847087,1.03333084947716,1.03333084947759,1.03333084947759,1.03333084947759,1.03333084947759,1.03333084947759,1.03333084947759,1.03333084947759,1.03333084947759,1.03333084947759,1.03333084947759,1.03333084947759,1.03333084947759,1.03333084947759,1.03333084947759,1.03333084947759,1.03333084947759
"73",9,1.02404727824655,1.02404727857912,1.02404727857915,1.02404727857915,1.02404727857915,1.02404727857915,1.02404727857915,1.02404727857915,1.02404727857915,1.02404727857915,1.02404727857915,1.02404727857915,1.02404727857915,1.02404727857915,1.02404727857915,1.02404727857915,1.02404727857915,1.02404727857915
"74",10,1.01705677838858,1.01705677843463,1.01705677843463,1.01705677843463,1.01705677843463,1.01705677843463,1.01705677843463,1.01705677843463,1.01705677843463,1.01705677843463,1.01705677843463,1.01705677843463,1.01705677843463,1.01705677843463,1.01705677843463,1.01705677843463,1.01705677843463,1.01705677843463
